codigo,anio_escolar,grado,asignatura,numero_de_periodo,resultado
20022098,2017-2018,12,Filosofia,1,86.0
20022098,2017-2018,12,Filosofia,2,84.0
20022098,2017-2018,12,Filosofia,3,87.0
20022098,2017-2018,12,Filosofia,4,89.0
20022098,2017-2018,12,Ingles,1,99.0
20022098,2017-2018,12,Ingles,2,100.0
20022098,2017-2018,12,Ingles,3,100.0
20022098,2017-2018,12,Ingles,4,100.0
20022098,2017-2018,12,Disciplina,1,85.0
20022098,2017-2018,12,Disciplina,2,88.0
20022098,2017-2018,12,Disciplina,3,84.0
20022098,2017-2018,12,Disciplina,4,84.0
20022099,2017-2018,12,Matematicas,1,81.0
20022099,2017-2018,12,Matematicas,2,76.0
20022099,2017-2018,12,Matematicas,3,84.0
20022099,2017-2018,12,Matematicas,4,80.0
20022099,2017-2018,12,Fisica,1,80.0
20022099,2017-2018,12,Fisica,2,74.0
20022099,2017-2018,12,Fisica,3,84.0
20022099,2017-2018,12,Fisica,4,82.0
20022099,2017-2018,12,Quimica,1,70.0
20022099,2017-2018,12,Quimica,2,79.0
20022099,2017-2018,12,Quimica,3,85.0
20022099,2017-2018,12,Quimica,4,82.0
20022099,2017-2018,12,Ciencias Sociales,1,88.0
20022099,2017-2018,12,Ciencias Sociales,2,94.0
20022099,2017-2018,12,Ciencias Sociales,3,87.0
20022099,2017-2018,12,Ciencias Sociales,4,82.0
20022099,2017-2018,12,Economia,1,96.0
20022099,2017-2018,12,Economia,2,80.0
20022099,2017-2018,12,Economia,3,82.0
20022099,2017-2018,12,Economia,4,78.0
20022099,2017-2018,12,Espaol,1,86.0
20022099,2017-2018,12,Espaol,2,73.0
20022099,2017-2018,12,Espaol,3,81.0
20022099,2017-2018,12,Espaol,4,78.0
20022099,2017-2018,12,Estadistica,1,94.0
20022099,2017-2018,12,Estadistica,2,83.0
20022099,2017-2018,12,Estadistica,3,75.0
20022099,2017-2018,12,Estadistica,4,88.0
20022099,2017-2018,12,Filosofia,1,90.0
20022099,2017-2018,12,Filosofia,2,89.0
20022099,2017-2018,12,Filosofia,3,82.0
20022099,2017-2018,12,Filosofia,4,91.0
20022099,2017-2018,12,Ingles,1,100.0
20022099,2017-2018,12,Ingles,2,100.0
20022099,2017-2018,12,Ingles,3,100.0
20022099,2017-2018,12,Ingles,4,100.0
20022099,2017-2018,12,Disciplina,1,100.0
20022099,2017-2018,12,Disciplina,2,93.0
20022099,2017-2018,12,Disciplina,3,94.0
20022099,2017-2018,12,Disciplina,4,99.0
20032002,2017-2018,12,Matematicas,1,73.0
20032002,2017-2018,12,Matematicas,2,75.0
20032002,2017-2018,12,Matematicas,3,81.0
20032002,2017-2018,12,Matematicas,4,82.0
20032002,2017-2018,12,Fisica,1,78.0
20032002,2017-2018,12,Fisica,2,78.0
20032002,2017-2018,12,Fisica,3,80.0
20032002,2017-2018,12,Fisica,4,85.0
20032002,2017-2018,12,Quimica,1,82.0
20032002,2017-2018,12,Quimica,2,77.0
20032002,2017-2018,12,Quimica,3,86.0
20032002,2017-2018,12,Quimica,4,78.0
20032002,2017-2018,12,Ciencias Sociales,1,91.0
20032002,2017-2018,12,Ciencias Sociales,2,90.0
20032002,2017-2018,12,Ciencias Sociales,3,92.0
20032002,2017-2018,12,Ciencias Sociales,4,79.0
20032002,2017-2018,12,Economia,1,94.0
20032002,2017-2018,12,Economia,2,78.0
20032002,2017-2018,12,Economia,3,60.0
20032002,2017-2018,12,Economia,4,88.0
20032002,2017-2018,12,Espaol,1,90.0
20032002,2017-2018,12,Espaol,2,79.0
20032002,2017-2018,12,Espaol,3,85.0
20032002,2017-2018,12,Espaol,4,88.0
20032002,2017-2018,12,Estadistica,1,93.0
20032002,2017-2018,12,Estadistica,2,70.0
20032002,2017-2018,12,Estadistica,3,75.0
20032002,2017-2018,12,Estadistica,4,63.0
20032002,2017-2018,12,Filosofia,1,91.0
20032002,2017-2018,12,Filosofia,2,94.0
20032002,2017-2018,12,Filosofia,3,93.0
20032002,2017-2018,12,Filosofia,4,91.0
20032002,2017-2018,12,Ingles,1,97.0
20032002,2017-2018,12,Ingles,2,99.0
20032002,2017-2018,12,Ingles,3,100.0
20032002,2017-2018,12,Ingles,4,100.0
20032002,2017-2018,12,Disciplina,1,100.0
20032002,2017-2018,12,Disciplina,2,93.0
20032002,2017-2018,12,Disciplina,3,98.0
20032002,2017-2018,12,Disciplina,4,97.0
20032003,2017-2018,12,Matematicas,1,100.0
20032003,2017-2018,12,Matematicas,2,95.0
20032003,2017-2018,12,Matematicas,3,100.0
20032003,2017-2018,12,Matematicas,4,98.0
20032003,2017-2018,12,Fisica,1,100.0
20032003,2017-2018,12,Fisica,2,100.0
20032003,2017-2018,12,Fisica,3,100.0
20032003,2017-2018,12,Fisica,4,99.0
20032003,2017-2018,12,Quimica,1,92.0
20032003,2017-2018,12,Quimica,2,88.0
20032003,2017-2018,12,Quimica,3,92.0
20032003,2017-2018,12,Quimica,4,90.0
20032003,2017-2018,12,Ciencias Sociales,1,92.0
20032003,2017-2018,12,Ciencias Sociales,2,97.0
20032003,2017-2018,12,Ciencias Sociales,3,92.0
20032003,2017-2018,12,Ciencias Sociales,4,91.0
20032003,2017-2018,12,Economia,1,96.0
20032003,2017-2018,12,Economia,2,92.0
20032003,2017-2018,12,Economia,3,78.0
20032003,2017-2018,12,Economia,4,75.0
20032003,2017-2018,12,Espaol,1,84.0
20032003,2017-2018,12,Espaol,2,74.0
20032003,2017-2018,12,Espaol,3,90.0
20032003,2017-2018,12,Espaol,4,95.0
20032003,2017-2018,12,Estadistica,1,98.0
20032003,2017-2018,12,Estadistica,2,83.0
20032003,2017-2018,12,Estadistica,3,97.0
20032003,2017-2018,12,Estadistica,4,96.0
20032003,2017-2018,12,Filosofia,1,93.0
20032003,2017-2018,12,Filosofia,2,99.0
20032003,2017-2018,12,Filosofia,3,96.0
20032003,2017-2018,12,Filosofia,4,93.0
20032003,2017-2018,12,Ingles,1,97.0
20032003,2017-2018,12,Ingles,2,97.0
20032003,2017-2018,12,Ingles,3,93.0
20032003,2017-2018,12,Ingles,4,97.0
20032003,2017-2018,12,Disciplina,1,96.0
20032003,2017-2018,12,Disciplina,2,94.0
20032003,2017-2018,12,Disciplina,3,96.0
20032003,2017-2018,12,Disciplina,4,92.0
20032004,2017-2018,12,Matematicas,1,95.0
20032004,2017-2018,12,Matematicas,2,91.0
20032004,2017-2018,12,Matematicas,3,88.0
20032004,2017-2018,12,Matematicas,4,82.0
20032004,2017-2018,12,Fisica,1,89.0
20032004,2017-2018,12,Fisica,2,85.0
20032004,2017-2018,12,Fisica,3,90.0
20032004,2017-2018,12,Fisica,4,84.0
20032004,2017-2018,12,Quimica,1,93.0
20032004,2017-2018,12,Quimica,2,84.0
20032004,2017-2018,12,Quimica,3,86.0
20032004,2017-2018,12,Quimica,4,85.0
20032004,2017-2018,12,Ciencias Sociales,1,93.0
20032004,2017-2018,12,Ciencias Sociales,2,95.0
20032004,2017-2018,12,Ciencias Sociales,3,85.0
20032004,2017-2018,12,Ciencias Sociales,4,93.0
20032004,2017-2018,12,Economia,1,93.0
20032004,2017-2018,12,Economia,2,85.0
20032004,2017-2018,12,Economia,3,98.0
20032004,2017-2018,12,Economia,4,97.0
20032004,2017-2018,12,Espaol,1,93.0
20032004,2017-2018,12,Espaol,2,92.0
20032004,2017-2018,12,Espaol,3,92.0
20032004,2017-2018,12,Espaol,4,93.0
20032004,2017-2018,12,Estadistica,1,96.0
20032004,2017-2018,12,Estadistica,2,92.0
20032004,2017-2018,12,Estadistica,3,78.0
20032004,2017-2018,12,Estadistica,4,92.0
20032004,2017-2018,12,Filosofia,1,97.0
20032004,2017-2018,12,Filosofia,2,95.0
20032004,2017-2018,12,Filosofia,3,94.0
20032004,2017-2018,12,Filosofia,4,97.0
20032004,2017-2018,12,Ingles,1,100.0
20032004,2017-2018,12,Ingles,2,100.0
20032004,2017-2018,12,Ingles,3,100.0
20032004,2017-2018,12,Ingles,4,100.0
20032004,2017-2018,12,Disciplina,1,98.0
20032004,2017-2018,12,Disciplina,2,92.0
20032004,2017-2018,12,Disciplina,3,97.0
20032004,2017-2018,12,Disciplina,4,98.0
20032006,2017-2018,12,Matematicas,1,77.0
20032006,2017-2018,12,Matematicas,2,70.0
20032006,2017-2018,12,Matematicas,3,79.0
20032006,2017-2018,12,Matematicas,4,82.0
20032006,2017-2018,12,Fisica,1,73.0
20032006,2017-2018,12,Fisica,2,80.0
20032006,2017-2018,12,Fisica,3,81.0
20032006,2017-2018,12,Fisica,4,79.0
20032006,2017-2018,12,Quimica,1,74.0
20032006,2017-2018,12,Quimica,2,78.0
20032006,2017-2018,12,Quimica,3,86.0
20032006,2017-2018,12,Quimica,4,78.0
20032006,2017-2018,12,Ciencias Sociales,1,82.0
20032006,2017-2018,12,Ciencias Sociales,2,89.0
20032006,2017-2018,12,Ciencias Sociales,3,79.0
20032006,2017-2018,12,Ciencias Sociales,4,82.0
20032006,2017-2018,12,Economia,1,92.0
20032006,2017-2018,12,Economia,2,80.0
20032006,2017-2018,12,Economia,3,93.0
20032006,2017-2018,12,Economia,4,81.0
20032006,2017-2018,12,Espaol,1,79.0
20032006,2017-2018,12,Espaol,2,74.0
20032006,2017-2018,12,Espaol,3,78.0
20032006,2017-2018,12,Espaol,4,82.0
20032006,2017-2018,12,Estadistica,1,92.0
20032006,2017-2018,12,Estadistica,2,83.0
20032006,2017-2018,12,Estadistica,3,57.0
20032006,2017-2018,12,Estadistica,4,79.0
20032006,2017-2018,12,Filosofia,1,77.0
20032006,2017-2018,12,Filosofia,2,80.0
20032006,2017-2018,12,Filosofia,3,80.0
20032006,2017-2018,12,Filosofia,4,82.0
20032006,2017-2018,12,Ingles,1,86.0
20032006,2017-2018,12,Ingles,2,83.0
20032006,2017-2018,12,Ingles,3,77.0
20032006,2017-2018,12,Ingles,4,82.0
20032006,2017-2018,12,Disciplina,1,93.0
20032006,2017-2018,12,Disciplina,2,74.0
20032006,2017-2018,12,Disciplina,3,67.0
20032006,2017-2018,12,Disciplina,4,70.0
20032007,2017-2018,12,Matematicas,1,96.0
20032007,2017-2018,12,Matematicas,2,91.0
20032007,2017-2018,12,Matematicas,3,100.0
20032007,2017-2018,12,Matematicas,4,100.0
20032007,2017-2018,12,Fisica,1,94.0
20032007,2017-2018,12,Fisica,2,91.0
20032007,2017-2018,12,Fisica,3,91.0
20032007,2017-2018,12,Fisica,4,94.0
20032007,2017-2018,12,Quimica,1,90.0
20032007,2017-2018,12,Quimica,2,93.0
20032007,2017-2018,12,Quimica,3,91.0
20032007,2017-2018,12,Quimica,4,85.0
20032007,2017-2018,12,Ciencias Sociales,1,91.0
20032007,2017-2018,12,Ciencias Sociales,2,96.0
20032007,2017-2018,12,Ciencias Sociales,3,89.0
20032007,2017-2018,12,Ciencias Sociales,4,92.0
20032007,2017-2018,12,Economia,1,96.0
20032007,2017-2018,12,Economia,2,85.0
20032007,2017-2018,12,Economia,3,98.0
20032007,2017-2018,12,Economia,4,93.0
20032007,2017-2018,12,Espaol,1,92.0
20032007,2017-2018,12,Espaol,2,85.0
20032007,2017-2018,12,Espaol,3,81.0
20032007,2017-2018,12,Espaol,4,91.0
20032007,2017-2018,12,Estadistica,1,99.0
20032007,2017-2018,12,Estadistica,2,94.0
20032007,2017-2018,12,Estadistica,3,94.0
20032007,2017-2018,12,Estadistica,4,93.0
20032007,2017-2018,12,Filosofia,1,97.0
20032007,2017-2018,12,Filosofia,2,97.0
20032007,2017-2018,12,Filosofia,3,90.0
20032007,2017-2018,12,Filosofia,4,94.0
20032007,2017-2018,12,Ingles,1,100.0
20032007,2017-2018,12,Ingles,2,100.0
20032007,2017-2018,12,Ingles,3,100.0
20032007,2017-2018,12,Ingles,4,100.0
20032007,2017-2018,12,Disciplina,1,99.0
20032007,2017-2018,12,Disciplina,2,100.0
20032007,2017-2018,12,Disciplina,3,100.0
20032007,2017-2018,12,Disciplina,4,93.0
20032013,2017-2018,12,Matematicas,1,73.0
20032013,2017-2018,12,Matematicas,2,69.0
20032013,2017-2018,12,Matematicas,3,77.0
20032013,2017-2018,12,Matematicas,4,79.0
20032013,2017-2018,12,Fisica,1,87.0
20032013,2017-2018,12,Fisica,2,74.0
20032013,2017-2018,12,Fisica,3,88.0
20032013,2017-2018,12,Fisica,4,79.0
20032013,2017-2018,12,Quimica,1,80.0
20032013,2017-2018,12,Quimica,2,68.0
20032013,2017-2018,12,Quimica,3,67.0
20032013,2017-2018,12,Quimica,4,82.0
20032013,2017-2018,12,Ciencias Sociales,1,95.0
20032013,2017-2018,12,Ciencias Sociales,2,91.0
20032013,2017-2018,12,Ciencias Sociales,3,80.0
20032013,2017-2018,12,Ciencias Sociales,4,91.0
20032013,2017-2018,12,Economia,1,93.0
20032013,2017-2018,12,Economia,2,79.0
20032013,2017-2018,12,Economia,3,93.0
20032013,2017-2018,12,Economia,4,76.0
20032013,2017-2018,12,Espaol,1,91.0
20032013,2017-2018,12,Espaol,2,80.0
20032013,2017-2018,12,Espaol,3,84.0
20032013,2017-2018,12,Espaol,4,85.0
20032013,2017-2018,12,Estadistica,1,90.0
20032013,2017-2018,12,Estadistica,2,83.0
20032013,2017-2018,12,Estadistica,3,78.0
20032013,2017-2018,12,Estadistica,4,83.0
20032013,2017-2018,12,Filosofia,1,95.0
20032013,2017-2018,12,Filosofia,2,93.0
20032013,2017-2018,12,Filosofia,3,88.0
20032013,2017-2018,12,Filosofia,4,81.0
20032013,2017-2018,12,Ingles,1,92.0
20032013,2017-2018,12,Ingles,2,100.0
20032013,2017-2018,12,Ingles,3,100.0
20032013,2017-2018,12,Ingles,4,100.0
20032013,2017-2018,12,Disciplina,1,92.0
20032013,2017-2018,12,Disciplina,2,55.0
20032013,2017-2018,12,Disciplina,3,76.0
20032013,2017-2018,12,Disciplina,4,85.0
20032021,2017-2018,12,Matematicas,1,89.0
20032021,2017-2018,12,Matematicas,2,85.0
20032021,2017-2018,12,Matematicas,3,80.0
20032021,2017-2018,12,Matematicas,4,84.0
20032021,2017-2018,12,Fisica,1,71.0
20032021,2017-2018,12,Fisica,2,80.0
20032021,2017-2018,12,Fisica,3,80.0
20032021,2017-2018,12,Fisica,4,82.0
20032021,2017-2018,12,Quimica,1,78.0
20032021,2017-2018,12,Quimica,2,66.0
20032021,2017-2018,12,Quimica,3,73.0
20032021,2017-2018,12,Quimica,4,84.0
20032021,2017-2018,12,Ciencias Sociales,1,93.0
20032021,2017-2018,12,Ciencias Sociales,2,70.0
20032021,2017-2018,12,Ciencias Sociales,3,88.0
20032021,2017-2018,12,Ciencias Sociales,4,93.0
20032021,2017-2018,12,Economia,1,79.0
20032021,2017-2018,12,Economia,2,80.0
20032021,2017-2018,12,Economia,3,100.0
20032021,2017-2018,12,Economia,4,82.0
20032021,2017-2018,12,Espaol,1,92.0
20032021,2017-2018,12,Espaol,2,92.0
20032021,2017-2018,12,Espaol,3,92.0
20032021,2017-2018,12,Espaol,4,91.0
20032021,2017-2018,12,Estadistica,1,94.0
20032021,2017-2018,12,Estadistica,2,70.0
20032021,2017-2018,12,Estadistica,3,79.0
20032021,2017-2018,12,Estadistica,4,75.0
20032021,2017-2018,12,Filosofia,1,95.0
20032021,2017-2018,12,Filosofia,2,92.0
20032021,2017-2018,12,Filosofia,3,89.0
20032021,2017-2018,12,Filosofia,4,90.0
20032021,2017-2018,12,Ingles,1,100.0
20032021,2017-2018,12,Ingles,2,100.0
20032021,2017-2018,12,Ingles,3,100.0
20032021,2017-2018,12,Ingles,4,100.0
20032021,2017-2018,12,Disciplina,1,99.0
20032021,2017-2018,12,Disciplina,2,89.0
20032021,2017-2018,12,Disciplina,3,96.0
20032021,2017-2018,12,Disciplina,4,98.0
20032023,2017-2018,12,Matematicas,1,71.0
20032023,2017-2018,12,Matematicas,2,72.0
20032023,2017-2018,12,Matematicas,3,82.0
20032023,2017-2018,12,Matematicas,4,79.0
20032023,2017-2018,12,Fisica,1,77.0
20032023,2017-2018,12,Fisica,2,82.0
20032023,2017-2018,12,Fisica,3,79.0
20032023,2017-2018,12,Fisica,4,82.0
20032023,2017-2018,12,Quimica,1,78.0
20032023,2017-2018,12,Quimica,2,84.0
20032023,2017-2018,12,Quimica,3,87.0
20032023,2017-2018,12,Quimica,4,77.0
20032023,2017-2018,12,Ciencias Sociales,1,87.0
20032023,2017-2018,12,Ciencias Sociales,2,90.0
20032023,2017-2018,12,Ciencias Sociales,3,74.0
20032023,2017-2018,12,Ciencias Sociales,4,73.0
20032023,2017-2018,12,Economia,1,92.0
20032023,2017-2018,12,Economia,2,71.0
20032023,2017-2018,12,Economia,3,67.0
20032023,2017-2018,12,Economia,4,68.0
20032023,2017-2018,12,Espaol,1,85.0
20032023,2017-2018,12,Espaol,2,78.0
20032023,2017-2018,12,Espaol,3,81.0
20032023,2017-2018,12,Espaol,4,72.0
20032023,2017-2018,12,Estadistica,1,88.0
20032023,2017-2018,12,Estadistica,2,62.0
20032023,2017-2018,12,Estadistica,3,80.0
20032023,2017-2018,12,Estadistica,4,61.0
20032023,2017-2018,12,Filosofia,1,82.0
20032023,2017-2018,12,Filosofia,2,89.0
20032023,2017-2018,12,Filosofia,3,81.0
20032023,2017-2018,12,Filosofia,4,93.0
20032023,2017-2018,12,Ingles,1,77.0
20032023,2017-2018,12,Ingles,2,85.0
20032023,2017-2018,12,Ingles,3,76.0
20032023,2017-2018,12,Ingles,4,83.0
20032023,2017-2018,12,Disciplina,1,68.0
20032023,2017-2018,12,Disciplina,2,62.0
20032023,2017-2018,12,Disciplina,3,69.0
20032023,2017-2018,12,Disciplina,4,82.0
20032026,2017-2018,12,Matematicas,1,95.0
20032026,2017-2018,12,Matematicas,2,96.0
20032026,2017-2018,12,Matematicas,3,100.0
20032026,2017-2018,12,Matematicas,4,96.0
20032026,2017-2018,12,Fisica,1,95.0
20032026,2017-2018,12,Fisica,2,91.0
20032026,2017-2018,12,Fisica,3,93.0
20032026,2017-2018,12,Fisica,4,93.0
20032026,2017-2018,12,Quimica,1,85.0
20032026,2017-2018,12,Quimica,2,88.0
20032026,2017-2018,12,Quimica,3,90.0
20032026,2017-2018,12,Quimica,4,89.0
20032026,2017-2018,12,Ciencias Sociales,1,96.0
20032026,2017-2018,12,Ciencias Sociales,2,96.0
20032026,2017-2018,12,Ciencias Sociales,3,94.0
20032026,2017-2018,12,Ciencias Sociales,4,95.0
20032026,2017-2018,12,Economia,1,96.0
20032026,2017-2018,12,Economia,2,89.0
20032026,2017-2018,12,Economia,3,97.0
20032026,2017-2018,12,Economia,4,97.0
20032026,2017-2018,12,Espaol,1,96.0
20032026,2017-2018,12,Espaol,2,89.0
20032026,2017-2018,12,Espaol,3,90.0
20032026,2017-2018,12,Espaol,4,96.0
20032026,2017-2018,12,Estadistica,1,97.0
20032026,2017-2018,12,Estadistica,2,97.0
20032026,2017-2018,12,Estadistica,3,90.0
20032026,2017-2018,12,Estadistica,4,86.0
20032026,2017-2018,12,Filosofia,1,99.0
20032026,2017-2018,12,Filosofia,2,97.0
20032026,2017-2018,12,Filosofia,3,92.0
20032026,2017-2018,12,Filosofia,4,97.0
20032026,2017-2018,12,Ingles,1,100.0
20032026,2017-2018,12,Ingles,2,100.0
20032026,2017-2018,12,Ingles,3,100.0
20032026,2017-2018,12,Ingles,4,100.0
20032026,2017-2018,12,Disciplina,1,100.0
20032026,2017-2018,12,Disciplina,2,100.0
20032026,2017-2018,12,Disciplina,3,100.0
20032026,2017-2018,12,Disciplina,4,100.0
20032027,2017-2018,12,Matematicas,1,85.0
20032027,2017-2018,12,Matematicas,2,71.0
20032027,2017-2018,12,Matematicas,3,64.0
20032027,2017-2018,12,Matematicas,4,75.0
20032027,2017-2018,12,Fisica,1,73.0
20032027,2017-2018,12,Fisica,2,77.0
20032027,2017-2018,12,Fisica,3,89.0
20032027,2017-2018,12,Fisica,4,84.0
20032027,2017-2018,12,Quimica,1,82.0
20032027,2017-2018,12,Quimica,2,78.0
20032027,2017-2018,12,Quimica,3,86.0
20032027,2017-2018,12,Quimica,4,74.0
20032027,2017-2018,12,Ciencias Sociales,1,89.0
20032027,2017-2018,12,Ciencias Sociales,2,91.0
20032027,2017-2018,12,Ciencias Sociales,3,93.0
20032027,2017-2018,12,Ciencias Sociales,4,79.0
20032027,2017-2018,12,Economia,1,84.0
20032027,2017-2018,12,Economia,2,82.0
20032027,2017-2018,12,Economia,3,77.0
20032027,2017-2018,12,Economia,4,83.0
20032027,2017-2018,12,Espaol,1,87.0
20032027,2017-2018,12,Espaol,2,82.0
20032027,2017-2018,12,Espaol,3,80.0
20032027,2017-2018,12,Espaol,4,79.0
20032027,2017-2018,12,Estadistica,1,91.0
20032027,2017-2018,12,Estadistica,2,81.0
20032027,2017-2018,12,Estadistica,3,72.0
20032027,2017-2018,12,Estadistica,4,76.0
20032027,2017-2018,12,Filosofia,1,81.0
20032027,2017-2018,12,Filosofia,2,79.0
20032027,2017-2018,12,Filosofia,3,86.0
20032027,2017-2018,12,Filosofia,4,90.0
20032027,2017-2018,12,Ingles,1,86.0
20032027,2017-2018,12,Ingles,2,88.0
20032027,2017-2018,12,Ingles,3,90.0
20032027,2017-2018,12,Ingles,4,91.0
20032027,2017-2018,12,Disciplina,1,83.0
20032027,2017-2018,12,Disciplina,2,91.0
20032027,2017-2018,12,Disciplina,3,81.0
20032027,2017-2018,12,Disciplina,4,82.0
20032028,2017-2018,12,Matematicas,1,81.0
20032028,2017-2018,12,Matematicas,2,71.0
20032028,2017-2018,12,Matematicas,3,80.0
20032028,2017-2018,12,Matematicas,4,82.0
20032028,2017-2018,12,Fisica,1,79.0
20032028,2017-2018,12,Fisica,2,78.0
20032028,2017-2018,12,Fisica,3,88.0
20032028,2017-2018,12,Fisica,4,85.0
20032028,2017-2018,12,Quimica,1,76.0
20032028,2017-2018,12,Quimica,2,79.0
20032028,2017-2018,12,Quimica,3,82.0
20032028,2017-2018,12,Quimica,4,85.0
20032028,2017-2018,12,Ciencias Sociales,1,88.0
20032028,2017-2018,12,Ciencias Sociales,2,92.0
20032028,2017-2018,12,Ciencias Sociales,3,85.0
20032028,2017-2018,12,Ciencias Sociales,4,89.0
20032028,2017-2018,12,Economia,1,93.0
20032028,2017-2018,12,Economia,2,83.0
20032028,2017-2018,12,Economia,3,81.0
20032028,2017-2018,12,Economia,4,95.0
20032028,2017-2018,12,Espaol,1,81.0
20032028,2017-2018,12,Espaol,2,81.0
20032028,2017-2018,12,Espaol,3,80.0
20032028,2017-2018,12,Espaol,4,83.0
20032028,2017-2018,12,Estadistica,1,91.0
